[Header]2015-03-15 18:09:41,839 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2015-03-15 18:10:02,550 [6] INFO  CDPW.DUSAForm [(null)] - DUSAForm-Page_Load - Enter
2015-03-15 18:10:02,550 [6] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_Get - Enter
2015-03-15 18:10:02,578 [6] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_Get - Exit
2015-03-15 18:10:02,578 [6] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Enter
2015-03-15 18:10:02,607 [6] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Exit
2015-03-15 18:10:02,607 [6] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Enter
2015-03-15 18:10:02,607 [6] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Exit
2015-03-15 18:10:02,608 [6] INFO  CDPW.DAL.Lists [(null)] - Lists-Regions - Enter
2015-03-15 18:10:02,615 [6] INFO  CDPW.DAL.Lists [(null)] - Lists-Regions - Exit
2015-03-15 18:10:02,615 [6] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Enter
2015-03-15 18:10:02,615 [6] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Exit
2015-03-15 18:10:02,615 [6] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Enter
2015-03-15 18:10:02,620 [6] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Exit
2015-03-15 18:10:02,620 [6] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Enter
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Exit
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2015-03-15 18:10:02,621 [6] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
